Project,site_no,collect_date,Hour,sample_ID,Subsample,LowestTaxonomicLevelOfID,TaxaID,Nauplius,ObjectiveMagnification,MarksInOcularMicrometer_No.,MarksInOcularMicrometer_Width_No.,MarksInOcularMicrometer_Height_No.,Initials
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,B,Family,Cyclopidae,,40x,22,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,B,Family,Cyclopidae,,40x,24,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,B,Family,Cyclopidae,,40x,23,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Genus,Bosmina,,40x,13,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Family,Cyclopidae,,40x,38,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Family,Cyclopidae,,40x,45,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Family,Cyclopidae,,40x,18,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,14-May-15,12:00,B14May15_8m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Ceriodaphnia,,40x,13,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Family,Cyclopidae,,40x,18,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Family,Cyclopidae,,40x,12,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Family,Cyclopidae,,40x,14,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Polyarthra,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Polyarthra,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Polyarthra,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Polyarthra,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Polyarthra,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Ascomorpha,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Conochilus,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,A,Genus,Conochilus,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Species,D. catawba,,40x,24,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Genus,Chydorus,,40x,8,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,31,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,16,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,14,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,22,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,24,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,70,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,40x,19,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,28-May-15,12:00,B28May15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Species,D. catawba,,40x,25,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Species,D. catawba,,40x,27,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Species,D. catawba,,40x,24,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Species,D. catawba,,40x,23,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Species,D. catawba,,40x,31,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Species,D. catawba,,40x,25,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Family,Cyclopidae,,40x,16,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Family,Cyclopidae,,40x,13,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Family,Cyclopidae,,40x,17,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Polyarthra,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Ascomorpha,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,A,Genus,Conochilus,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,40x,24,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,40x,23,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,40x,23,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,40x,42,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Genus,Ceriodaphnia,,40x,20,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,19,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,23,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,13,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,25,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,18,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,22,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,40x,18,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,B,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Species,D. catawba,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,11-Jun-15,12:00,B11Jun15_9m,C,Genus,Diaptomus,,40x,17,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Family,Cyclopidae,,40x,27,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Family,Cyclopidae,,40x,42,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Subclass,Copepoda,nauplius,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Keratella,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Kellicottia,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Ascomorpha,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,A,Genus,Conochilus,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,B,Species,D. catawba,,40x,28,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,B,Species,D. catawba,,40x,44,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,B,Species,D. catawba,,40x,30,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,B,Family,Cyclopidae,,40x,33,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,B,Family,Cyclopidae,,40x,14,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,B,Family,Cyclopidae,,40x,18,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Genus,Ceriodaphnia,,40x,13,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,40x,18,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,40x,27,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,40x,17,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,40x,27,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,40x,24,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,25-Jun-15,12:00,B25Jun15_9m,C,Family,Cyclopidae,,NA,,,,JPD
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,A,Family,Cyclopidae,,40x,27,,,JPD
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,A,Family,Cyclopidae,,40x,20,,,JPD
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,A,Family,Cyclopidae,,40x,13,,,JPD
FCR2015,BVR_50,9-Jul-15,12:00,B9Jul15_9m,A,Family,Cyclopidae,,40x,44,,,JPD
